id,lastLogOff,timeCreated,accountAge,accountAgePersonal,nrOfGamesOwned,totalNumberOfGamesPlayedFriends,meanNumberOfPGameslayedFriends,nrOfGamesPlayed,totalPlaytime,nrOfFriends,totalPlaytimeFriends,meanPlaytimeFriends,totalNrOfGamesOwnedFriends,meanNrOfGamesOwnedFriends,totalAccountAgeFriends,meanAccountAgeFriends,totalAccountAgeFriendsPersonal,meanAccountAgeFriendsPersonal
7.656119815208538e+16,1511892190.0,1409241554.0,102915610.0,102650636.0,12.0,61.0,7.625,3.0,2998.0,8.0,216306.0,27038.25,127.0,15.875,1114478158.0,139309769.75,1064686007.0,133085750.875
7.656119810363096e+16,1511664663.0,1376948937.0,135208227.0,134715726.0,3.0,32.0,4.0,3.0,5485.0,8.0,599547.0,74943.375,93.0,11.625,1231210725.0,153901340.625,1196995011.0,149624376.375
7.656119824447213e+16,1511577061.0,1439504487.0,72652677.0,72072574.0,48.0,559.0,27.95,35.0,131071.0,20.0,2717683.0,135884.15,755.0,37.75,1762418465.0,88120923.25,1741078776.0,87053938.8
7.656119811796254e+16,1510672778.0,1386980248.0,125176916.0,123692530.0,14.0,26.0,4.333333333333333,4.0,4474.0,6.0,75511.0,12585.166666666666,65.0,10.833333333333334,815482605.0,135913767.5,811302889.0,135217148.16666666
7.656119817255434e+16,1511285059.0,1420551104.0,91606060.0,90733955.0,126.0,789.0,46.411764705882355,66.0,106314.0,17.0,1689392.0,99376.0,1060.0,62.35294117647059,2071023714.0,121824924.35294117,1960855434.0,115344437.29411764
7.656119807499606e+16,1511327986.0,1352004710.0,160152454.0,159323276.0,308.0,5306.0,117.91111111111111,244.0,284844.0,45.0,8508017.0,189067.04444444444,9117.0,202.6,8657118145.0,192380403.2222222,8473259820.0,188294662.66666666
7.65611980016446e+16,1511550774.0,1223306848.0,288850316.0,288243926.0,38.0,234.0,26.0,22.0,46516.0,9.0,984284.0,109364.88888888889,299.0,33.22222222222222,886454065.0,98494896.1111111,880429759.0,97825528.77777778
7.656119814169571e+16,1509670101.0,1403461997.0,108695167.0,106208104.0,14.0,128.0,16.0,10.0,126480.0,8.0,1700860.0,212607.5,206.0,25.75,1711449940.0,213931242.5,1669097020.0,208637127.5
7.656119811977701e+16,1511221210.0,1388027496.0,124129668.0,123193714.0,55.0,291.0,41.57142857142857,44.0,96011.0,7.0,537853.0,76836.14285714286,418.0,59.714285714285715,830898420.0,118699774.28571428,815391004.0,116484429.14285715
7.656119821925571e+16,1511708004.0,1427042663.0,85114501.0,84665341.0,54.0,1673.0,88.05263157894737,51.0,28511.0,19.0,9058018.0,476737.7894736842,2203.0,115.94736842105263,3061640703.0,161138984.36842105,3052407332.0,160653017.47368422
7.656119800212336e+16,1511642391.0,1224982231.0,287174933.0,286660160.0,702.0,3923.0,435.8888888888889,528.0,419460.0,9.0,2442223.0,271358.1111111111,6363.0,707.0,2533727562.0,281525284.6666667,2436921920.0,270769102.2222222
7.656119800691706e+16,1485269594.0,1235664940.0,276492224.0,249604654.0,5.0,881.0,110.125,4.0,73959.0,8.0,1600541.0,200067.625,1612.0,201.5,2018434122.0,252304265.25,2013559499.0,251694937.375
7.65611983112999e+16,1511587214.0,1465682324.0,46474840.0,45904890.0,10.0,241.0,21.90909090909091,9.0,139564.0,11.0,1029300.0,93572.72727272728,299.0,27.181818181818183,898848126.0,81713466.0,867477687.0,78861607.9090909
