id,lastLogOff,timeCreated,accountAge,accountAgePersonal,totalPlaytime,nrOfFriends,totalPlaytimeFriends,meanPlaytimeFriends,totalGamecountFriends,meanGamecountFriends,totalAccountAgeFriends,meanAccountAgeFriends,totalAccountAgeFriendsPersonal,meanAccountAgeFriendsPersonal
7.656119821925571e+16,1511708004.0,1427042663.0,85114392.0,84665341.0,28511.0,19.0,9058018.0,476737.7894736842,2203.0,115.94736842105263,3061638632.0,161138875.36842105,3052407332.0,160653017.47368422
7.656119800212336e+16,1511642391.0,1224982231.0,287174824.0,286660160.0,419460.0,9.0,2442223.0,271358.1111111111,6363.0,707.0,2533726581.0,281525175.6666667,2436921920.0,270769102.2222222
7.656119800691706e+16,1485269594.0,1235664940.0,276492115.0,249604654.0,73959.0,8.0,1600541.0,200067.625,1612.0,201.5,2018433250.0,252304156.25,2013559499.0,251694937.375
7.65611983112999e+16,1511587214.0,1465682324.0,46474731.0,45904890.0,139564.0,11.0,1029300.0,93572.72727272728,299.0,27.181818181818183,898846927.0,81713357.0,867477687.0,78861607.9090909
7.656119807726974e+16,1511602720.0,1354332490.0,157824565.0,157270230.0,371633.0,26.0,3691806.0,141992.53846153847,1377.0,52.96153846153846,4108833675.0,158032064.42307693,3790113903.0,145773611.65384614
7.656119799607075e+16,1511455684.0,1201288215.0,310868840.0,310167469.0,562950.0,22.0,6627322.0,301241.9090909091,1056.0,48.0,2589867504.0,117721250.18181819,2575813650.0,117082438.63636364
7.65611982185136e+16,1511801314.0,1442402859.0,69754196.0,69398455.0,152034.0,8.0,1260037.0,157504.625,649.0,81.125,1062659726.0,132832465.75,1027526439.0,128440804.875
7.656119806072571e+16,1511660862.0,1332475571.0,179681484.0,179185291.0,10053.0,14.0,1490052.0,106432.28571428571,1728.0,123.42857142857143,2345563723.0,167540265.92857143,2261073919.0,161505279.92857143
7.656119805872598e+16,1511480561.0,1329121103.0,183035952.0,182359458.0,19364.0,18.0,2618050.0,145447.22222222222,2231.0,123.94444444444444,3455201127.0,191955618.16666666,3442612067.0,191256225.94444445
7.656119808651306e+16,1511146044.0,1363529112.0,148627943.0,147616932.0,447564.0,10.0,3329728.0,332972.8,798.0,79.8,1362610180.0,136261018.0,1358792908.0,135879290.8
7.656119826951274e+16,1509891621.0,1450557807.0,61599248.0,59333814.0,35163.0,7.0,517052.0,73864.57142857143,156.0,22.285714285714285,571895608.0,81699372.57142857,554900571.0,79271510.14285715
7.656119835678003e+16,1511192788.0,1483699451.0,28457604.0,27493337.0,124102.0,18.0,3308238.0,183791.0,890.0,49.44444444444444,1602266109.0,89014783.83333333,1570508265.0,87250459.16666667
7.656119804236845e+16,1478737918.0,1306349962.0,205807093.0,172387956.0,101627.0,12.0,1747165.0,145597.08333333334,471.0,39.25,2545599394.0,212133282.83333334,2206516247.0,183876353.91666666
7.65611981852819e+16,1511850679.0,1426353238.0,85803817.0,85497441.0,24042.0,22.0,582958.0,26498.090909090908,207.0,9.409090909090908,2387041559.0,108501889.04545455,2368742325.0,107670105.68181819
7.65611981068978e+16,1511131964.0,1378978840.0,133178215.0,132153124.0,86832.0,39.0,4841179.0,124132.79487179487,2876.0,73.74358974358974,6424271054.0,164724898.82051283,6388225760.0,163800660.5128205
7.656119818214195e+16,1511871271.0,1425137205.0,87019850.0,86734066.0,129714.0,11.0,1560720.0,141883.63636363635,279.0,25.363636363636363,911090586.0,82826416.9090909,884652260.0,80422932.72727273
7.656119806048762e+16,1511114888.0,1331950903.0,180206152.0,179163985.0,76196.0,14.0,1845129.0,131794.92857142858,648.0,46.285714285714285,1790174599.0,127869614.21428572,1765787516.0,126127679.71428572
7.656119813811498e+16,1510794165.0,1401123291.0,111033764.0,109670874.0,266225.0,7.0,638104.0,91157.71428571429,270.0,38.57142857142857,949233839.0,135604834.14285713,922334120.0,131762017.14285715
7.656119806574539e+16,1511393345.0,1340317579.0,171839476.0,171075766.0,304526.0,6.0,1232000.0,205333.33333333334,498.0,83.0,912850051.0,152141675.16666666,906873662.0,151145610.33333334
7.656119805166144e+16,1502264467.0,1320243578.0,191913477.0,182020889.0,7357.0,11.0,256747.0,23340.636363636364,132.0,12.0,1320234651.0,120021331.9090909,1102258626.0,100205329.63636364
7.656119814842616e+16,1454759806.0,1407167642.0,104989413.0,47592164.0,22579.0,6.0,749510.0,124918.33333333333,304.0,50.666666666666664,974025288.0,162337548.0,899766653.0,149961108.83333334
7.65611982532664e+16,1511545448.0,1443787883.0,68369172.0,67757565.0,107308.0,8.0,1313663.0,164207.875,678.0,84.75,784087237.0,98010904.625,778453487.0,97306685.875
7.656119802101731e+16,1511200078.0,1265873553.0,246283502.0,245326525.0,121351.0,8.0,1133550.0,141693.75,396.0,49.5,886344839.0,110793104.875,880487021.0,110060877.625
7.656119801670093e+16,1474098030.0,1258881600.0,253275455.0,215216430.0,62032.0,19.0,2439119.0,128374.68421052632,930.0,48.94736842105263,4434315959.0,233385050.47368422,4335510887.0,228184783.52631578
7.656119808763715e+16,1511731810.0,1364656388.0,147500667.0,147075422.0,16697.0,7.0,1217434.0,173919.14285714287,822.0,117.42857142857143,1361966605.0,194566657.85714287,1349948706.0,192849815.14285713
7.656119823337803e+16,1511478164.0,1434209653.0,77947402.0,77268511.0,144685.0,7.0,751611.0,107373.0,394.0,56.285714285714285,1424875326.0,203553618.0,1418570402.0,202652914.57142857
7.656119811708627e+16,1510976414.0,1386306857.0,125850198.0,124669557.0,2509.0,11.0,120854.0,10986.727272727272,97.0,8.818181818181818,1283645188.0,116695017.0909091,1273115725.0,115737793.18181819
7.656119819647648e+16,1511313218.0,1431624041.0,80533014.0,79689177.0,13400.0,9.0,1708456.0,189828.44444444444,568.0,63.111111111111114,1253933429.0,139325936.55555555,1245562226.0,138395802.8888889
7.656119804865416e+16,1511099747.0,1315904649.0,196252406.0,195195098.0,63053.0,6.0,549773.0,91628.83333333333,2235.0,372.5,1061447115.0,176907852.5,1057315009.0,176219168.16666666
7.656119834980365e+16,1511813172.0,1481153374.0,31003681.0,30659798.0,70289.0,7.0,531227.0,75889.57142857143,34.0,4.857142857142857,211304280.0,30186325.714285713,201227846.0,28746835.14285714
7.65611983035287e+16,1508406724.0,1462977832.0,49179223.0,45428892.0,123209.0,13.0,1582367.0,121720.53846153847,480.0,36.92307692307692,865339243.0,66564557.15384615,838920803.0,64532369.461538464
7.6561198042753e+16,1510789216.0,1307122754.0,205034301.0,203666462.0,441772.0,157.0,54995743.0,350291.3566878981,51759.0,329.6751592356688,27640998884.0,176057317.73248407,27439027378.0,174770875.01910827
7.65611982570437e+16,1511454072.0,1445776007.0,66381048.0,65678065.0,26394.0,6.0,542687.0,90447.83333333333,311.0,51.833333333333336,815125565.0,135854260.83333334,802888469.0,133814744.83333333
7.656119831135642e+16,1511896801.0,1465833117.0,46323938.0,46063684.0,54194.0,18.0,2057131.0,114285.05555555556,404.0,22.444444444444443,1240646490.0,68924805.0,1231166547.0,68398141.5
7.656119828757237e+16,1511228874.0,1456974498.0,55182557.0,54254376.0,55069.0,6.0,652678.0,108779.66666666667,350.0,58.333333333333336,1294214309.0,215702384.83333334,1277465138.0,212910856.33333334
